| Passo | Prompt Exato                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Modo                    | Checkpoint? |
| ----- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------- | ----------- |
| 1     | “Plan Mode: Localize no codebase os pontos exatos onde: (a) o template de Folha é definido (Servidor e Pensionista), (b) o import mapeia cabeçalhos para colunas, (c) a consulta do cliente carrega folha/margens, (d) onde ‘Créditos/Débitos/Líquido’ são renderizados. Liste os arquivos e funções exatas envolvidos, sem alterar código ainda.”                                                                                                                    | Plan Mode               | NÃO         |
| 2     | “Build (Baixa Autonomia): Unifique a nomenclatura do modelo Folha com as instruções. A regra é: os cabeçalhos aceitos no import devem ser exatamente os mesmos do template baixável. Implemente uma tabela de aliases de cabeçalho (ex: ‘Créditos’ -> salario_bruto, ‘Débitos’ -> descontos_brutos, ‘Líquido’ -> salario_liquido) e aplique no parser/mapper, mantendo compatibilidade com arquivos antigos. Não mexa em UI ainda.”                                   | Build (Baixa Autonomia) | SIM         |
| 3     | “Build (Baixa Autonomia): Corrija a persistência completa das margens adicionais: margem_cartao_credito_(bruta/utilizada/saldo) e margem_cartao_beneficio_(bruta/utilizada/saldo) + margem_5 (bruta/utilizada/saldo se existir no schema) garantindo que: (1) o parser lê, (2) o merge/upsert grava na tabela final usada pela consulta, (3) valores vazios não sobrescrevem valores existentes. Inclua logs de auditoria por linha rejeitada e por coluna ignorada.” | Build (Baixa Autonomia) | SIM         |
| 4     | “Build (Baixa Autonomia): Corrigir a chave de vínculo: hoje está usando (cpf, matricula). Atualize para considerar (cpf, matricula, orgao) como vínculo único. Ajuste constraints/índices no banco e ajuste toda persistência/consulta para usar essa chave. Garanta que a folha_mes seja única por (cpf, matricula, orgao, competencia) e que reimportação faça upsert, não erro de unique constraint.”                                                              | Build (Baixa Autonomia) | SIM         |
| 5     | “Build (Baixa Autonomia): Corrija o bug do UPAG não mudar quando alterna vínculo. A tela deve carregar dados do vínculo selecionado (incluindo upag, situacao_funcional, rejur e margens). Garanta que a queryKey inclua orgao + matricula + cpf e que o endpoint filtre por vínculo selecionado.”                                                                                                                                                                    | Build (Baixa Autonomia) | SIM         |
| 6     | “Build (Baixa Autonomia): Ajuste UI para mostrar cartões de Margem 5% e Benefício 5% com valores, igual aos cards de 70% e 35%. Se o valor for 0 mostrar ‘R$ 0,00’. Se for null, mostrar ‘-’. Não usar falsy check que transforme 0 em ‘-’.”                                                                                                                                                                                                                          | Build (Baixa Autonomia) | SIM         |
| 7     | “Build (Baixa Autonomia): Corrigir a exibição de salários. A UI deve renderizar: Créditos = salario_bruto, Débitos = descontos_brutos, Líquido = salario_liquido. Ajuste tanto no componente quanto na resposta da API. Garanta que o import aceite tanto ‘Créditos/Débitos/Líquido’ quanto ‘salario_bruto/descontos_brutos/salario_liquido’ via aliases do Passo 2.”                                                                                                 | Build (Baixa Autonomia) | SIM         |
| 8     | “Build (Baixa Autonomia): Implementar relatório de importação obrigatório: para cada arquivo importado, salvar total_linhas, importadas_ok, rejeitadas, e CSV de erros com motivo por linha (ex: cpf inválido, coluna faltando, orgao vazio em multi-vínculo, parse numérico falhou). Expor endpoint /api/import-runs/:id/errors/download e botão na UI.”                                                                                                             | Build (Baixa Autonomia) | SIM         |
| 9     | “Build (Baixa Autonomia): Corrigir Importação Rápida que está dando 500 e erro de ‘value too large to transmit’. Ajuste para: (1) não retornar payloads grandes na resposta (retornar só run_id), (2) mover detalhes para endpoints de status, (3) chunk size configurável, (4) tratamento de unique constraint via upsert e não insert puro.”                                                                                                                        | Build (Baixa Autonomia) | SIM         |
| 10    | “Build (Baixa Autonomia): Padronizar Convênios: criar tabela de convenios (tenant_id, nome_normalizado, display_name). No UI: dropdown com opções existentes + campo ‘criar novo’ se não existir. Normalizar entrada (trim, upper, remover duplicados tipo ‘Siape’ vs ‘SIAPE’). Garantir que nas próximas importações o select puxa a lista.”                                                                                                                         | Build (Baixa Autonomia) | SIM         |
| 11    | “Build (Baixa Autonomia): Remover o formato duplicado de consulta do CRM Vendas. Fazer o menu CRM Vendas -> Consulta redirecionar/usar o mesmo componente/rota da ‘Consulta Cliente’ da Base de Clientes. Garantir um único ponto de leitura para evitar divergência.”                                                                                                                                                                                                | Build (Baixa Autonomia) | SIM         |
| 12    | “Plan Mode: Faça uma revisão final listando: (a) quais tabelas finais guardam margens/salários, (b) quais cabeçalhos o import aceita oficialmente (lista final), (c) como reimportação funciona sem perder dados, (d) check rápido de teste com o CPF do exemplo e 2 vínculos.”                                                                                                                                                                                       | Plan Mode               | NÃO         |
