| Passo | Prompt Exato                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Modo                    | Checkpoint? |
| ----- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------- | ----------- |
| 1     | "Mapeie exatamente quais tabelas recebem dados na importação normal e na importação rápida. Liste também quais colunas existem hoje para rastrear origem (base_id, base_tag, import_run_id, tenant_id). Mostre os trechos de código onde os inserts/upserts acontecem."                                                                                                                                                                                                                           | Plan Mode               | NÃO         |
| 2     | "Implemente rastreabilidade obrigatória para permitir exclusão real: garanta que toda linha inserida em tabelas finais (clientes_pessoa, clientes_vinculo, clientes_folha_mes, clientes_contratos, client_contacts se existir) receba import_run_id e base_tag/base_id quando vier de import. Se faltar coluna, crie migration SQL. Atualize import normal e fast import para preencher essas colunas."                                                                                           | Build (Baixa Autonomia) | SIM         |
| 3     | "Corrija DELETE de Base Importada: ao deletar /api/bases/:id, remova em cascata todos os registros das tabelas finais vinculados a essa base (por base_id ou base_tag e tenant_id). Depois, apague pessoas órfãs (clientes_pessoa) que ficaram sem vínculos e sem contatos. Faça tudo transacional."                                                                                                                                                                                              | Build (Baixa Autonomia) | SIM         |
| 4     | "Corrija DELETE de Import Run: ao deletar /api/import-runs/:id, remova em cascata todos os registros nas tabelas finais com import_run_id = :id e tenant_id. Depois, apague pessoas órfãs. Faça tudo transacional. Atualize o frontend para invalidar cache após delete."                                                                                                                                                                                                                         | Build (Baixa Autonomia) | SIM         |
| 5     | "Ajuste a consulta manual /api/clientes/consulta para respeitar base escolhida quando existir filtro de convênio e para nunca retornar registros que foram deletados. Se optar por soft delete, filtre deleted_at. Se optar por hard delete, garanta que não há join trazendo dados antigos."                                                                                                                                                                                                     | Build (Baixa Autonomia) | SIM         |
| 6     | "Padronize chave de vínculo: mude a unicidade e o upsert para considerar CPF + matrícula + órgão (e tenant). Atualize o schema/constraints e ajuste o fast-import para usar ON CONFLICT nessa chave. Corrija a constraint que está causando 'duplicate key violates unique constraint clientes_folha_mes_pessoa_competencia_unique' para incluir órgão/vínculo ou usar vinculo_id."                                                                                                               | Build (Baixa Autonomia) | SIM         |
| 7     | "Padronize nomes de colunas do template Folha: faça o parser aceitar os headers reais do seu XLSX/CSV (Orgão, Matricula, Base Calc, Bruta 5%, Utilz 5%, Saldo 5%, Beneficio Bruta 5%, Beneficio Utilizado 5%, Beneficio Saldo 5%, Bruta 35%, Utilz 35%, Saldo 35%, Bruta 70%, Utilz 70%, Saldo 70%, Créditos, Débitos, Líquido, ARQ. UPAG, EXC QTD, EXC Soma, RJUR, Sit Func, CPF, Margem) e mapear exatamente para: salario_bruto/descontos_brutos/salario_liquido e margens 5% e benefício 5%." | Build (Baixa Autonomia) | SIM         |
| 8     | "Corrija UI Consulta Cliente: ao trocar vínculo, UPAG e salários precisam mudar junto. Garanta que a queryKey inclua orgao+matricula+cpf e que a API retorne folha/margens por vínculo selecionado. Ajuste render: se valor for 0 mostrar 0,00; se null mostrar '-'."                                                                                                                                                                                                                             | Build (Baixa Autonomia) | SIM         |
| 9     | "Remova o formato duplicado de consulta do CRM Vendas e reaproveite o mesmo componente/rota da Consulta Cliente da Base de Clientes. Faça o menu CRM Vendas -> Consulta apontar para a mesma tela, evitando dois fluxos diferentes."                                                                                                                                                                                                                                                              | Build (Baixa Autonomia) | SIM         |
| 10    | "Adicione relatório de importação: ao finalizar cada import (normal e rápido), salve contagens (lidas, inseridas, atualizadas, rejeitadas) e disponibilize download de CSV de erros por import_run_id. Mostre link na UI."                                                                                                                                                                                                                                                                        | Build (Baixa Autonomia) | SIM         |
